Station,Latitude,Longitude,StationID
Battersea Power Station,51.479932,-0.142142,940GZZBPSUST
Acton Town,51.503057,-0.280462,940GZZLUACT
Archway,51.565478,-0.134819,940GZZLUACY
Aldgate East,51.515037,-0.072384,940GZZLUADE
Angel,51.532624,-0.105898,940GZZLUAGL
Aldgate,51.514246,-0.075689,940GZZLUALD
Alperton,51.540627,-0.29961,940GZZLUALP
Amersham,51.674126,-0.607714,940GZZLUAMS
Arnos Grove,51.616446,-0.133062,940GZZLUASG
Arsenal,51.558655,-0.107457,940GZZLUASL
Bromley-by-Bow,51.524839,-0.011538,940GZZLUBBB
Barbican,51.520275,-0.097993,940GZZLUBBN
Bounds Green,51.607034,-0.124235,940GZZLUBDS
Becontree,51.540331,0.127016,940GZZLUBEC
Barkingside,51.585689,0.088585,940GZZLUBKE
Blackfriars,51.511581,-0.103659,940GZZLUBKF
Barking,51.539321,0.081053,940GZZLUBKG
Buckhurst Hill,51.626605,0.046757,940GZZLUBKH
Bethnal Green,51.527222,-0.055506,940GZZLUBLG
Balham,51.443288,-0.152997,940GZZLUBLM
Blackhorse Road,51.586919,-0.04115,940GZZLUBLR
Bermondsey,51.49775,-0.063993,940GZZLUBMY
Bond Street,51.514304,-0.149723,940GZZLUBND
Bank,51.513132,-0.090047,940GZZLUBNK
Borough,51.501199,-0.09337,940GZZLUBOR
Boston Manor,51.495635,-0.324939,940GZZLUBOS
Barons Court,51.490311,-0.213427,940GZZLUBSC
Baker Street,51.522883,-0.15713,940GZZLUBST
Burnt Oak,51.602774,-0.264048,940GZZLUBTK
Brent Cross,51.57665,-0.213622,940GZZLUBTX
Bow Road,51.52694,-0.025128,940GZZLUBWR
Bayswater,51.512284,-0.187938,940GZZLUBWT
Brixton,51.462618,-0.114888,940GZZLUBXN
Belsize Park,51.550529,-0.164783,940GZZLUBZP
Chalfont & Latimer,51.667985,-0.560689,940GZZLUCAL
Caledonian Road,51.548519,-0.118493,940GZZLUCAR
Chalk Farm,51.544118,-0.153388,940GZZLUCFM
Covent Garden,51.513093,-0.124436,940GZZLUCGN
Canning Town,51.513584,0.008322,940GZZLUCGT
Chancery Lane,51.518247,-0.111583,940GZZLUCHL
Charing Cross,51.50741,-0.127277,940GZZLUCHX
Cockfosters,51.65152,-0.149171,940GZZLUCKS
Colindale,51.595424,-0.249919,940GZZLUCND
Clapham Common,51.461742,-0.138317,940GZZLUCPC
Canons Park,51.607701,-0.294693,940GZZLUCPK
Clapham North,51.465135,-0.130016,940GZZLUCPN
Clapham South,51.452654,-0.147582,940GZZLUCPS
Colliers Wood,51.41816,-0.178086,940GZZLUCSD
Chesham,51.705208,-0.611247,940GZZLUCSM
Cannon Street,51.51151,-0.090432,940GZZLUCST
Camden Town,51.539292,-0.14274,940GZZLUCTN
Chigwell,51.617916,0.075041,940GZZLUCWL
Chiswick Park,51.494627,-0.267972,940GZZLUCWP
Canada Water,51.497931,-0.049405,940GZZLUCWR
Croxley,51.647044,-0.441718,940GZZLUCXY
Chorleywood,51.654358,-0.518461,940GZZLUCYD
Canary Wharf,51.503488,-0.018246,940GZZLUCYF
Debden,51.645386,0.083782,940GZZLUDBN
Dagenham East,51.544096,0.166017,940GZZLUDGE
Dagenham Heathway,51.541639,0.147527,940GZZLUDGY
Dollis Hill,51.551955,-0.239068,940GZZLUDOH
Elephant & Castle,51.494536,-0.100606,940GZZLUEAC
Eastcote,51.576506,-0.397373,940GZZLUEAE
East Acton,51.516612,-0.247248,940GZZLUEAN
Ealing Broadway,51.515017,-0.301457,940GZZLUEBY
Ealing Common,51.51014,-0.288265,940GZZLUECM
Earl's Court,51.492063,-0.193378,940GZZLUECT
East Finchley,51.587131,-0.165012,940GZZLUEFY
Edgware,51.613653,-0.274928,940GZZLUEGW
East Ham,51.538948,0.051186,940GZZLUEHM
Embankment,51.507058,-0.122666,940GZZLUEMB
Epping,51.69368,0.113767,940GZZLUEPG
Elm Park,51.549775,0.19864,940GZZLUEPK
East Putney,51.459205,-0.211,940GZZLUEPY
Edgware Road (Bakerloo),51.520299,-0.17015,940GZZLUERB
Edgware Road (Circle Line),51.519858,-0.167832,940GZZLUERC
Euston Square,51.525604,-0.135829,940GZZLUESQ
Euston,51.527824,-0.131846,940GZZLUEUS
Fulham Broadway,51.480081,-0.195422,940GZZLUFBY
Farringdon,51.520252,-0.104913,940GZZLUFCN
Fairlop,51.595618,0.091004,940GZZLUFLP
Finsbury Park,51.564158,-0.106825,940GZZLUFPK
Finchley Central,51.600921,-0.192527,940GZZLUFYC
Finchley Road,51.546825,-0.179845,940GZZLUFYR
Gunnersbury,51.491803,-0.275267,940GZZLUGBY
Goodge Street,51.520599,-0.134361,940GZZLUGDG
Greenford,51.542424,-0.34605,940GZZLUGFD
Grange Hill,51.613378,0.092066,940GZZLUGGH
Golders Green,51.572259,-0.194039,940GZZLUGGN
Goldhawk Road,51.502005,-0.226715,940GZZLUGHK
Green Park,51.506947,-0.142787,940GZZLUGPK
Great Portland Street,51.52384,-0.144262,940GZZLUGPS
Gants Hill,51.576544,0.066185,940GZZLUGTH
Gloucester Road,51.494316,-0.182658,940GZZLUGTR
Highbury & Islington,51.54635,-0.103324,940GZZLUHAI
Harrow & Wealdstone,51.592268,-0.335217,940GZZLUHAW
Holborn,51.51758,-0.120475,940GZZLUHBN
High Barnet,51.650541,-0.194298,940GZZLUHBT
Hornchurch,51.554093,0.219116,940GZZLUHCH
Hendon Central,51.583301,-0.226424,940GZZLUHCL
Hillingdon,51.553715,-0.449828,940GZZLUHGD
Hanger Lane,51.530177,-0.292704,940GZZLUHGR
Highgate,51.577532,-0.145857,940GZZLUHGT
Hainault,51.603659,0.093482,940GZZLUHLT
Hatton Cross,51.466747,-0.423191,940GZZLUHNX
Harrow-on-the-Hill,51.579195,-0.337225,940GZZLUHOH
Hyde Park Corner,51.503035,-0.152441,940GZZLUHPC
Holland Park,51.507143,-0.205679,940GZZLUHPK
Heathrow Terminal 4,51.458524,-0.445771,940GZZLUHR4
Heathrow Terminal 5,51.470052,-0.49056,940GZZLUHR5
Heathrow Terminals 2 & 3,51.471235,-0.452265,940GZZLUHRC
Hammersmith (H&C Line),51.49339,-0.22503,940GZZLUHSC
Hammersmith (Dist&Picc Line),51.4923,-0.22362,940GZZLUHSD
High Street Kensington,51.501055,-0.192792,940GZZLUHSK
Harlesden,51.53631,-0.257883,940GZZLUHSN
Hampstead,51.556239,-0.177464,940GZZLUHTD
Hounslow Central,51.471295,-0.366578,940GZZLUHWC
Hounslow East,51.473213,-0.356474,940GZZLUHWE
Hounslow West,51.473469,-0.386544,940GZZLUHWT
Holloway Road,51.552697,-0.113244,940GZZLUHWY
Ickenham,51.561716,-0.442256,940GZZLUICK
Kilburn,51.547183,-0.204248,940GZZLUKBN
Kingsbury,51.584845,-0.27879,940GZZLUKBY
Kenton,51.581756,-0.31691,940GZZLUKEN
Knightsbridge,51.501669,-0.160508,940GZZLUKNB
Kennington,51.488337,-0.105963,940GZZLUKNG
Kensington (Olympia),51.497624,-0.210015,940GZZLUKOY
Kilburn Park,51.534979,-0.194232,940GZZLUKPK
Kentish Town,51.550312,-0.140733,940GZZLUKSH
Kensal Green,51.530539,-0.225016,940GZZLUKSL
King's Cross St. Pancras,51.530663,-0.123194,940GZZLUKSX
Kew Gardens,51.477058,-0.285241,940GZZLUKWG
Ladbroke Grove,51.517449,-0.210391,940GZZLULAD
Lambeth North,51.498808,-0.112315,940GZZLULBN
Loughton,51.641443,0.055476,940GZZLULGN
Lancaster Gate,51.511723,-0.175494,940GZZLULGT
London Bridge,51.505721,-0.088873,940GZZLULNB
Latimer Road,51.513389,-0.217799,940GZZLULRD
Leicester Square,51.511386,-0.128426,940GZZLULSQ
Liverpool Street,51.517372,-0.083182,940GZZLULVT
Leyton,51.556589,-0.005523,940GZZLULYN
Leytonstone,51.568324,0.008194,940GZZLULYS
Marble Arch,51.513424,-0.158953,940GZZLUMBA
Morden,51.402142,-0.194839,940GZZLUMDN
Mile End,51.525122,-0.03364,940GZZLUMED
Moorgate,51.518176,-0.088322,940GZZLUMGT
Mill Hill East,51.608229,-0.209986,940GZZLUMHL
Monument,51.5107,-0.085969,940GZZLUMMT
Moor Park,51.629845,-0.432454,940GZZLUMPK
Manor House,51.570738,-0.096118,940GZZLUMRH
Mansion House,51.512117,-0.094009,940GZZLUMSH
Mornington Crescent,51.534679,-0.138789,940GZZLUMTC
Maida Vale,51.529777,-0.185758,940GZZLUMVL
Marylebone,51.522322,-0.163207,940GZZLUMYB
North Acton,51.523524,-0.259755,940GZZLUNAN
Newbury Park,51.575726,0.090004,940GZZLUNBP
Neasden,51.553986,-0.249837,940GZZLUNDN
North Ealing,51.517505,-0.288868,940GZZLUNEN
Northfields,51.499319,-0.314719,940GZZLUNFD
North Greenwich,51.50047,0.004287,940GZZLUNGW
North Harrow,51.584872,-0.362408,940GZZLUNHA
Notting Hill Gate,51.509128,-0.196104,940GZZLUNHG
Northolt,51.548236,-0.368699,940GZZLUNHT
Northwick Park,51.578481,-0.318056,940GZZLUNKP
Northwood,51.611053,-0.423829,940GZZLUNOW
Northwood Hills,51.600572,-0.409464,940GZZLUNWH
North Wembley,51.562551,-0.304,940GZZLUNWY
Oakwood,51.647726,-0.132182,940GZZLUOAK
Old Street,51.525864,-0.08777,940GZZLUODS
Osterley,51.481274,-0.352224,940GZZLUOSY
Oval,51.48185,-0.112439,940GZZLUOVL
Oxford Circus,51.515224,-0.141903,940GZZLUOXC
Paddington,51.516581,-0.175689,940GZZLUPAC
Paddington (H&C Line)-Underground,51.518187,-0.178306,940GZZLUPAH
Piccadilly Circus,51.51005,-0.133798,940GZZLUPCC
Pimlico,51.489097,-0.133761,940GZZLUPCO
Park Royal,51.527123,-0.284341,940GZZLUPKR
Plaistow,51.531341,0.017451,940GZZLUPLW
Pinner,51.592901,-0.381161,940GZZLUPNR
Preston Road,51.571972,-0.295107,940GZZLUPRD
Parsons Green,51.475277,-0.20117,940GZZLUPSG
Perivale,51.536717,-0.323446,940GZZLUPVL
Putney Bridge,51.468262,-0.208731,940GZZLUPYB
Queensbury,51.594188,-0.286219,940GZZLUQBY
Queen's Park,51.534158,-0.204574,940GZZLUQPS
Queensway,51.510312,-0.187152,940GZZLUQWY
Redbridge,51.576243,0.04536,940GZZLURBG
Regent's Park,51.523344,-0.146444,940GZZLURGP
Rickmansworth,51.640207,-0.473703,940GZZLURKW
Richmond,51.463237,-0.301336,940GZZLURMD
Ruislip Gardens,51.560736,-0.41071,940GZZLURSG
Ruislip Manor,51.573202,-0.412973,940GZZLURSM
Ruislip,51.571354,-0.421898,940GZZLURSP
Russell Square,51.523073,-0.124285,940GZZLURSQ
Ravenscourt Park,51.494122,-0.235881,940GZZLURVP
Roding Valley,51.617199,0.043647,940GZZLURVY
Rayners Lane,51.575147,-0.371127,940GZZLURYL
Royal Oak,51.519113,-0.188748,940GZZLURYO
Shepherd's Bush (Central),51.504376,-0.218813,940GZZLUSBC
Shepherd's Bush Market,51.505579,-0.226375,940GZZLUSBM
South Ealing,51.501003,-0.307424,940GZZLUSEA
Stamford Brook,51.494917,-0.245704,940GZZLUSFB
Southfields,51.445073,-0.206602,940GZZLUSFS
Stepney Green,51.521858,-0.046596,940GZZLUSGN
Stonebridge Park,51.543959,-0.275892,940GZZLUSGP
Southgate,51.632315,-0.127816,940GZZLUSGT
South Harrow,51.564888,-0.352492,940GZZLUSHH
St. James's Park,51.499544,-0.133608,940GZZLUSJP
St. John's Wood,51.534521,-0.173948,940GZZLUSJW
South Kensington,51.494094,-0.174138,940GZZLUSKS
South Kenton,51.570232,-0.308433,940GZZLUSKT
Stockwell,51.472184,-0.122644,940GZZLUSKW
Snaresbrook,51.580678,0.02144,940GZZLUSNB
St. Paul's,51.514936,-0.097567,940GZZLUSPU
South Ruislip,51.556853,-0.398915,940GZZLUSRP
Sloane Square,51.49227,-0.156377,940GZZLUSSQ
Stratford,51.541806,-0.003458,940GZZLUSTD
Stanmore,51.619839,-0.303266,940GZZLUSTM
Sudbury Hill,51.556946,-0.336435,940GZZLUSUH
Sudbury Town,51.550815,-0.315745,940GZZLUSUT
Seven Sisters,51.58333,-0.072584,940GZZLUSVS
Swiss Cottage,51.543681,-0.174894,940GZZLUSWC
South Woodford,51.591907,0.027338,940GZZLUSWF
Southwark,51.50427,-0.105331,940GZZLUSWK
South Wimbledon,51.415309,-0.192005,940GZZLUSWN
Totteridge & Whetstone,51.630597,-0.17921,940GZZLUTAW
Tooting Bec,51.435678,-0.159736,940GZZLUTBC
Tooting Broadway,51.42763,-0.168374,940GZZLUTBY
Tottenham Court Road,51.516426,-0.13041,940GZZLUTCR
Tufnell Park,51.556822,-0.138433,940GZZLUTFP
Theydon Bois,51.671759,0.103085,940GZZLUTHB
Tottenham Hale,51.588108,-0.060241,940GZZLUTMH
Temple,51.511006,-0.11426,940GZZLUTMP
Turnham Green,51.495148,-0.254555,940GZZLUTNG
Turnpike Lane,51.590272,-0.102953,940GZZLUTPN
Tower Hill,51.509971,-0.076546,940GZZLUTWH
Upminster Bridge,51.55856,0.235809,940GZZLUUPB
Upton Park,51.53534,0.035263,940GZZLUUPK
Upminster,51.559063,0.250882,940GZZLUUPM
Upney,51.538372,0.10153,940GZZLUUPY
Uxbridge,51.546565,-0.477949,940GZZLUUXB
Victoria,51.496359,-0.143102,940GZZLUVIC
Vauxhall,51.485743,-0.124204,940GZZLUVXL
Watford,51.657446,-0.417377,940GZZLUWAF
West Brompton,51.487268,-0.195599,940GZZLUWBN
White City,51.511959,-0.224297,940GZZLUWCY
West Finchley,51.609426,-0.188362,940GZZLUWFN
West Ham,51.528136,0.005055,940GZZLUWHM
West Hampstead,51.546638,-0.191059,940GZZLUWHP
West Harrow,51.57971,-0.3534,940GZZLUWHW
Willesden Green,51.549146,-0.221537,940GZZLUWIG
Wimbledon,51.421207,-0.206573,940GZZLUWIM
Wimbledon Park,51.434573,-0.199719,940GZZLUWIP
Willesden Junction,51.532259,-0.244283,940GZZLUWJN
Warwick Avenue,51.523263,-0.183783,940GZZLUWKA
West Kensington,51.490459,-0.206636,940GZZLUWKN
Wood Lane,51.509669,-0.22453,940GZZLUWLA
Waterloo,51.503299,-0.11478,940GZZLUWLO
Woodford,51.606899,0.03397,940GZZLUWOF
Wood Green,51.597479,-0.109886,940GZZLUWOG
Woodside Park,51.618014,-0.18542,940GZZLUWOP
Whitechapel,51.519518,-0.059971,940GZZLUWPL
West Ruislip,51.569688,-0.437886,940GZZLUWRP
Warren Street,51.524951,-0.138321,940GZZLUWRR
Wanstead,51.575501,0.028527,940GZZLUWSD
Westminster,51.50132,-0.124861,940GZZLUWSM
Westbourne Park,51.52111,-0.201065,940GZZLUWSP
West Acton,51.518001,-0.28098,940GZZLUWTA
Walthamstow Central,51.582965,-0.019885,940GZZLUWWL
Wembley Central,51.552304,-0.296852,940GZZLUWYC
Wembley Park,51.563198,-0.279262,940GZZLUWYP
Nine Elms,51.479912,-0.128476,940GZZNEUGST